@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1013 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1510 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0.078261,0.017391,0,0,0.008772,0,0,0,0.185275,0.193685,0.209886,0
9,0.024862,0.012431,0,0,0.002766,0,0,0,0.254504,0.272178,0.306042,0
9,0.037893,0.012939,0,0,0.0037,0,0,0,0.590187,0.631581,0.732049,1
9,0,0.018868,0,0,0.037975,0,0,0,0.498937,0.523507,0.604222,0
9,0.009728,0.083658,0,0,0.017544,0,0,0,0.159494,0.165405,0.173843,0
9,0,0.07377,0,0,0.041322,0,0,0,0.427467,0.443650,0.510052,0
9,0,0.095794,0,0,0.007018,0,0,0,0.604209,0.643303,0.746075,0
9,0.021292,0.003549,0,0,0.004261,0,0,0,0.660440,0.708134,0.821826,0
9,0.005291,0,0,0,0.037234,0,0,0,0.495057,0.520000,0.600411,0
9,0,0.105181,0,0,0.014151,0,0,0,0.257894,0.265937,0.290555,0
9,0,0.048077,0,0,0.019417,0,0,0,0.312837,0.320441,0.362038,0
9,0,0.07486,0,0,0.005593,0,0,0,0.577347,0.616433,0.713382,0
9,0,0.008724,0,0,0.002183,0,0,0,0.782736,0.838435,0.974498,0
9,0,0,0,0,0.012346,0,0,0,0.529373,0.559784,0.646377,0
9,0.028571,0.078571,0,0,0.019678,0,0,0,0.192419,0.198112,0.211528,0
9,0.009804,0.039216,0,0,0,0,0,0,0.103206,0.107125,0.109156,0
9,0.003704,0.087037,0,0,0.009276,0,0,0,0.359088,0.377613,0.430834,0
9,0,0.00651,0,0,0.007823,0,0,0,0.762927,0.814742,0.946670,0
9,0,0.050633,0,0,0.038217,0,0,0,0.544278,0.570759,0.661882,0
9,0.0217,0.084991,0,0,0.012681,0,0,0,0.138503,0.140736,0.146322,1
9,0,0.06422,0,0,0.018519,0,0,0,0.373255,0.386657,0.440692,0
9,0,0.127042,0,0,0.005455,0,0,0,0.488210,0.516937,0.597356,0
9,0,0.009206,0,0,0.004608,0,0,0,0.801580,0.857828,0.998044,1
9,0,0.024096,0,0,0.006061,0,0,0,0.614617,0.651157,0.752841,0
9,0,0.108317,0,0,0.011628,0,0,0,0.245365,0.251542,0.277930,0
9,0,0,0,0,0.032967,0,0,0,0.302425,0.300376,0.340117,0
9,0.016447,0.095395,0,0,0.004942,0,0,0,0.465450,0.492205,0.568353,0
9,0.007067,0.005889,0,0,0.004717,0,0,0,0.744261,0.797631,0.927744,0
9,0,0.005814,0,0,0.017544,0,0,0,0.437160,0.463595,0.532634,0
9,0.012968,0.100865,0,0,0.012987,0,0,0,0.222313,0.232086,0.255529,0
9,0,0.010204,0,0,0.020619,0,0,0,0.142293,0.140551,0.149633,0
9,0.00235,0.052879,0,0,0.005882,0,0,0,0.583358,0.620382,0.718254,0
9,0,0.00129,0,0,0.002584,0,0,0,0.762469,0.816694,0.949390,0
9,0.039773,0,0,0,0.022857,0,0,0,0.368060,0.387021,0.445489,0
9,0.010081,0.032258,0,0,0.022222,0,0,0,0.233844,0.241547,0.266515,0
9,0,0.043796,0,0,0.014706,0,0,0,0.468030,0.493415,0.565571,1
9,0,0.030318,0,0,0.005382,0,0,0,0.739732,0.790237,0.918823,2
