@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature25 numeric
@attribute bi_feature327 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.058164,0.110021,0,0.014727,0,0.639422,0.675768,0.777804,0
0.027246,0.015751,0.004683,0,0.004259,0,0.695561,0.741895,0.855149,0
0.019048,0.190476,0.006349,0,0.003185,0,0.522018,0.544899,0.626284,0
0,0.072437,0.150517,0,0.080038,0,0.280345,0.289015,0.314938,0
0,0.137931,0.08046,0,0,0,0.343288,0.351895,0.397434,0
0.002011,0.042225,0.088472,0,0.014085,0,0.613181,0.650163,0.746455,0
0,0.01308,0.013734,0,0.005236,0,0.814931,0.868052,1.002752,0
0,0.176471,0.018382,0,0.00369,0,0.564025,0.591213,0.678312,0
0.031049,0.066381,0.124197,0,0.063237,0,0.207314,0.213570,0.230001,0
0,0.104603,0.062762,0,0.042017,0,0.474594,0.494737,0.566290,0
0.009709,0.099735,0.098853,0,0.027385,0,0.492919,0.517828,0.591581,0
0,0.020111,0.010055,0,0.002515,0,0.823515,0.875829,1.012876,0
0,0.181818,0.021818,0,0,0,0.597609,0.624509,0.719830,0
0,0.065652,0.112274,0,0.088571,0,0.322803,0.334712,0.370016,0
0.011696,0.046784,0.099415,0,0.029412,0,0.147738,0.153178,0.162707,0
0.008889,0.095556,0.11,0,0.026696,0,0.400115,0.418233,0.472901,0
0,0.025781,0.010156,0,0.000782,0,0.796507,0.846439,0.977952,0
0,0.220532,0.053232,0,0,0,0.579574,0.603403,0.695326,0
0.027115,0.105206,0.109544,0,0.04126,0,0.156180,0.158277,0.165614,1
0,0.142857,0.087912,0,0.022099,0,0.406080,0.419731,0.476643,0
0,0.097933,0.151251,0,0.022876,0,0.532126,0.558832,0.640410,0
0,0.013803,0.011042,0,0.004834,0,0.833433,0.887055,1.026135,1
0,0.043321,0.032491,0,0.007246,0,0.644500,0.681038,0.784342,0
0,0.072009,0.149826,0,0.069767,0,0.270002,0.276359,0.304878,0
0,0.267974,0,0,0,0,0.320849,0.319059,0.361907,0
0.019743,0.115499,0.109576,0,0.025692,0,0.506516,0.530798,0.607217,0
0.009187,0.010601,0.00636,0,0.000707,0,0.780164,0.831519,0.960935,0
0.003497,0.104895,0.013986,0,0,0,0.466822,0.491465,0.561957,0
0.020743,0.045808,0.127053,0,0.053633,0,0.246505,0.256769,0.281299,0
0,0.140244,0.04878,0,0.03681,0,0.183156,0.181948,0.195441,0
0.002819,0.086681,0.06413,0,0.016925,0,0.617521,0.651868,0.748437,0
0,0.006961,0.003094,0,0.004644,0,0.794524,0.846269,0.977494,0
0.068027,0.129252,0,0,0.003413,0,0.399069,0.416784,0.476526,0
0.01451,0.108827,0.04474,0,0.039952,0,0.264043,0.271554,0.296964,0
0,0.087336,0.065502,0,0.017544,0,0.494172,0.518569,0.590459,1
0,0.052817,0.035505,0,0.004696,0,0.773458,0.820865,0.947730,2
0,0.023699,0.012082,0,0.004649,0,0.838978,0.892970,1.032614,2
0,0.161172,0.018315,0,0,0,0.556606,0.580828,0.668035,0
0,0.088913,0.148189,0,0.048352,0,0.307649,0.317233,0.353916,2
0,0.281768,0,0,0,0,0.405531,0.410158,0.468219,0
0,0.060191,0.058999,0,0.0161,0,0.636636,0.673909,0.775751,0
0.008372,0.01907,0.005581,0,0.002792,0,0.777396,0.827384,0.956339,0
0,0.131086,0.026217,0,0.011278,0,0.616752,0.647273,0.745655,0
0,0.069277,0.186747,0,0.070352,0,0.278237,0.286362,0.314801,0
0,0.306358,0,0,0.005814,0,0.474661,0.485635,0.557262,0
0,0.049734,0.081705,0,0.020444,0,0.560446,0.591172,0.675255,0
0.001048,0.014144,0.011001,0,0.004717,0,0.771956,0.821942,0.947492,0
0,0.117216,0.014652,0,0.003676,0,0.638951,0.672037,0.773938,0
0,0.109905,0.169607,0,0.054348,0,0.253131,0.256551,0.279289,0
0,0.106599,0.050761,0,0.030612,0,0.406238,0.422360,0.477969,0
0.007739,0.095443,0.078246,0,0.012048,0,0.466302,0.489952,0.557027,0
0.031676,0.00842,0.002807,0,0.002006,0,0.788657,0.840806,0.971810,1
0.064777,0.125506,0.032389,0,0.00813,0,0.268185,0.279191,0.313978,0
0,0.100105,0.139094,0,0.052743,0,0.283547,0.291556,0.322061,0
0.038462,0,0,0,0,0,0.041458,0.053796,0.040392,0
0.01925,0,0,0,0,0,0.037728,0.049514,0.036106,0
0.076119,0,0,0,0,0,0.023050,0.030208,0.019619,0
0.04461,0,0,0,0,0,0.032287,0.041119,0.030693,0
0,0.116142,0.093504,0,0.064039,0,0.286931,0.292177,0.321557,0
0.071856,0.179641,0.005988,0,0.036145,0,0.095037,0.087438,0.084880,0
0,0.108475,0.065537,0,0.023756,0,0.457366,0.476673,0.542500,0
0.000852,0.024702,0,0,0.001705,0,0.824822,0.878361,1.015498,0
0.041237,0.158076,0,0,0,0,0.467157,0.487771,0.558228,0
0.005639,0.067669,0.035714,0,0.039511,0,0.273583,0.286910,0.310946,1
0.019704,0.039409,0.024631,0,0.034653,0,0.191965,0.201428,0.219187,0
0.057818,0.066775,0.036645,0.000815,0.02282,0,0.297149,0.313283,0.349504,1
0.022939,0.00372,0.00496,0,0.014888,0,0.735930,0.785340,0.905170,0
0,0.195312,0.003906,0,0.007843,0,0.616732,0.645201,0.742364,0
0.031343,0.061692,0.018905,0,0.021901,0,0.581787,0.615748,0.704015,0
0,0.137405,0.038168,0,0.046154,0,0.211834,0.209227,0.227071,0
