@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.002011,0.042225,0,0,0.004024,0.613478,0.652077,0.746455,0
0,0.01308,0,0,0.004581,0.815232,0.870587,1.002752,0
0,0.176471,0,0,0.02214,0.563988,0.592744,0.678312,0
0.031049,0.066381,0,0,0.021436,0.207417,0.213718,0.230001,0
0,0.104603,0,0,0.02521,0.474742,0.495976,0.566290,0
0.009709,0.099735,0,0,0.004417,0.493138,0.519333,0.591581,0
0,0.020111,0,0,0.006036,0.823775,0.878352,1.012876,0
0,0.181818,0,0,0.018248,0.597664,0.626228,0.719830,0
0,0.065652,0,0,0.018095,0.323309,0.335114,0.370016,0
0.011696,0.046784,0,0,0,0.147686,0.153348,0.162707,0
0.008889,0.095556,0,0,0.008899,0.400441,0.419318,0.472901,0
0,0.025781,0,0,0.0086,0.796765,0.848815,0.977952,0
0,0.220532,0,0,0.026718,0.579642,0.605187,0.695326,0
0.027115,0.105206,0,0,0.021716,0.156135,0.158245,0.165614,1
0,0.142857,0,0,0.01105,0.406280,0.420685,0.476643,0
0,0.097933,0,0,0.005447,0.532491,0.560607,0.640410,0
0,0.013803,0,0,0.005525,0.833705,0.889644,1.026135,1
0,0.043321,0,0,0.014493,0.644696,0.682824,0.784342,0
0,0.072009,0,0,0.019767,0.270404,0.276735,0.304878,0
0,0.267974,0,0,0.065789,0.320641,0.319391,0.361907,0
0.019743,0.115499,0,0,0.002964,0.506812,0.532361,0.607217,0
0.009187,0.010601,0,0,0.002829,0.780397,0.834011,0.960935,0
0.003497,0.104895,0,0,0.014035,0.466652,0.492650,0.561957,0
0.020743,0.045808,0,0,0.012111,0.246744,0.257195,0.281299,0
0,0.140244,0,0,0.01227,0.183312,0.181855,0.195441,0
0.002819,0.086681,0,0,0.004231,0.617826,0.653692,0.748437,0
0,0.006961,0,0,0.001548,0.794793,0.848682,0.977494,0
0.068027,0.129252,0,0,0.020478,0.399022,0.417835,0.476526,0
0.01451,0.108827,0,0,0.016949,0.264243,0.271550,0.296964,0
0,0.087336,0,0,0.017544,0.494486,0.519729,0.590459,1
0,0.052817,0,0,0.004696,0.773753,0.823261,0.947730,2
0,0.023699,0,0,0.003719,0.839270,0.895583,1.032614,2
0,0.161172,0,0,0.036765,0.556667,0.582303,0.668035,0
0,0.088913,0,0,0.021978,0.307935,0.317855,0.353916,2
0,0.281768,0,0,0.038889,0.405384,0.410886,0.468219,0
0,0.060191,0,0,0.006559,0.636843,0.675887,0.775751,0
0.008372,0.01907,0,0,0.005119,0.777633,0.829806,0.956339,0
0,0.131086,0,0,0.022556,0.616875,0.649032,0.745655,0
0,0.069277,0,0,0.01809,0.278754,0.286853,0.314801,0
0,0.306358,0,0,0.02907,0.474575,0.486831,0.557262,0
0,0.049734,0,0,0.007111,0.560824,0.592617,0.675255,0
0.001048,0.014144,0,0,0.003145,0.772275,0.824225,0.947492,0
0,0.117216,0,0,0.029412,0.639093,0.673796,0.773938,0
0,0.109905,0,0,0.02038,0.253591,0.256790,0.279289,0
0,0.106599,0,0,0.020408,0.406474,0.423114,0.477969,0
0.007739,0.095443,0,0,0.004303,0.466595,0.491210,0.557027,0
0.031676,0.00842,0.000802,0,0.002808,0.788908,0.843313,0.971810,1
0.064777,0.125506,0,0,0.01626,0.268015,0.280015,0.313978,0
0,0.100105,0,0,0.022152,0.283869,0.291996,0.322061,0
0.038462,0,0,0,0,0.040495,0.053343,0.040392,0
0.01925,0,0,0,0,0.036887,0.049315,0.036106,0
0.076119,0,0,0,0,0.022687,0.030464,0.019619,0
0.04461,0,0,0,0,0.031605,0.041098,0.030693,0
0,0.116142,0,0,0.024631,0.287277,0.292337,0.321557,0
0.071856,0.179641,0,0,0.024096,0.094946,0.086976,0.084880,0
0,0.108475,0,0,0.016968,0.457556,0.477694,0.542500,0
0.000852,0.024702,0,0,0.001705,0.825085,0.880937,1.015498,0
0.041237,0.158076,0,0,0.024138,0.467041,0.488988,0.558228,0
0.005639,0.067669,0,0,0.014111,0.273671,0.286805,0.310946,1
0.019704,0.039409,0,0,0.009901,0.192152,0.201676,0.219187,0
0.057818,0.066775,0,0.000815,0.00489,0.297250,0.313933,0.349504,1
0.022939,0.00372,0,0,0,0.736217,0.787609,0.905170,0
0,0.195312,0,0,0.023529,0.616834,0.646901,0.742364,0
0.031343,0.061692,0,0,0.007964,0.582058,0.617238,0.704015,0
0,0.137405,0,0,0.015385,0.211975,0.208976,0.227071,0
0,0.073609,0,0,0.007186,0.578079,0.611581,0.698173,0
0.042401,0.015419,0,0,0.003306,0.672384,0.718672,0.825954,1
0,0.2375,0,0,0.029289,0.510536,0.529050,0.605133,0
0,0.130381,0,0,0.023399,0.252376,0.254453,0.279137,0
0,0.083832,0,0,0.012048,0.386548,0.400363,0.456023,0
0,0.147942,0,0,0.013363,0.428058,0.445286,0.506112,0
0.011263,0.022526,0,0,0.005636,0.777674,0.830087,0.955946,0
0,0.17037,0,0,0.022305,0.597772,0.626338,0.719066,0
0,0.113662,0,0,0.031034,0.294288,0.301483,0.330042,0
0,0.012766,0,0,0.004274,0.452860,0.477869,0.539345,1
0.004594,0.096478,0,0,0.004598,0.574405,0.605718,0.693700,2
0.003025,0.010586,0,0,0.002269,0.824048,0.879650,1.013965,2
0.003145,0.04717,0,0,0.006309,0.334972,0.359082,0.402971,0
0,0.080412,0,0,0.01548,0.300983,0.315185,0.350610,2
