@relation rabc_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute psy_feature1 numeric
@attribute psy_feature2 numeric
@attribute psy_feature3 numeric
@attribute psy_feature4 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute psy_feature7 numeric
@attribute psy_feature8 numeric
@attribute psy_feature9 numeric
@attribute psy_feature10 numeric
@attribute psy_feature11 numeric
@attribute psy_feature12 numeric
@attribute psy_feature13 numeric
@attribute psy_feature14 numeric
@attribute psy_feature15 numeric
@attribute psy_feature16 numeric
@attribute psy_feature17 numeric
@attribute psy_feature18 numeric
@attribute joint_feature1 numeric
@attribute joint_feature2 numeric
@attribute class {0,1,2}

@data
7,0.130247,-0.430852,0.710243,3.438863,-0.746651,-0.450305,0.813625,5.614128,-0.571604,0.585811,0.808144,4.145643,0.509188,-0.021249,2.646954,9.731572,0.206739,1.060528,0,0
1,0.234122,1.023533,0.711069,3.169606,1.069412,0.157167,1.023296,3.950606,0.101244,0.644784,0.504853,2.851574,0.38758,-0.552945,0.124145,1.830203,-0.609982,0.913837,0,0
7,0.723651,0.099571,1.016446,3.850844,0.065434,0.138497,0.939823,5.829723,0.02812,-0.304171,0.464342,3.492831,-0.420324,0.051915,0.568013,4.218191,-0.068956,0.959196,1,0
2,0.547107,0.414888,0.312381,3.685902,0.45458,0.046323,1.675074,11.433393,0.090552,-0.180057,0.532312,3.298956,-0.417338,0.463163,0.531411,3.357183,0.432537,0.988961,0,0
8,0.48487,-0.031347,1.211361,3.455159,-0.205173,0.162449,1.066317,5.678659,0.2173,-0.38316,0.910755,4.470761,-0.63012,-0.509,1.260127,5.449758,-0.613616,0.704774,0,0
2,0.051519,0.016333,1.22089,3.377466,0.434539,-0.397871,0.88949,4.084775,-0.326081,0.828219,0.415802,3.914922,0.750458,-0.144656,0.290377,2.557532,-0.089056,0.689343,0,0
2,0.367889,0.442573,1.080105,3.455691,0.946302,-0.170642,1.189865,5.615237,-0.315726,-0.144368,0.450673,2.695684,-0.18752,-0.22168,1.052653,3.316458,-0.590692,0.900181,0,0
7,0.729858,-0.113621,0.865467,3.414336,-0.040309,-0.048947,0.786296,5.590287,-0.048623,0.216693,1.042292,6.739545,-0.047892,0.329052,0.635083,4.210772,0.275438,0.952943,0,0
2,0.511628,-0.145349,0.818615,4.574408,0.1333,0.17495,1.549032,9.05273,0.228395,-0.644422,0.089679,1.187917,-0.755273,-0.152124,0.673609,2.980892,0.065762,0.984057,0,2
8,0.364126,-0.053105,0.942743,4.94207,-0.012816,0.017938,0.660054,5.032506,0.163259,-0.346539,0.296896,2.034174,-0.37302,-0.016137,0.726208,4.888576,0.087382,0.942661,3,0
18,0.162334,0.234595,0.494214,4.223454,0.072284,-0.369729,0.514258,5.223049,-0.40969,-0.189835,0.36805,3.653958,-0.32397,0.155495,0.667914,7.088706,0.223255,1.926626,1,1
2,0.417127,0.607439,0.741754,3.862416,0.886986,1.00246,1.133801,5.28089,0.917931,0.113599,0.42616,2.117052,0.2776,-0.196601,0.760142,2.464092,-0.230482,1.235899,0,2
10,0.541311,-0.096584,1.242739,4.426974,0.224103,0.00986,1.107679,5.445975,-0.087475,0.342484,1.662437,6.83602,0.027275,-0.071548,1.186852,10.638757,-0.231838,2.072989,3,2
