@relation rabc_sampled_features

@attribute dummy numeric
@attribute mono_feature1 numeric
@attribute mono_feature25 numeric
@attribute mono_feature33 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature961 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
9,0,0.09403,0,0,0,0.00299,0.077728,0,0.515953,0.556106,0.628217,1
9,0.012163,0.004231,0.001058,0,0,0.004233,0.001587,0,0.719248,0.780826,0.888670,2
9,0,0.036842,0.005263,0,0,0.005291,0.021164,0,0.553201,0.594129,0.671226,0
9,0,0.149912,0.003527,0,0,0.022968,0.125442,0,0.280588,0.292352,0.320972,1
9,0,0,0,0,0,0.012821,0,0,0.490245,0.524190,0.591797,0
9,0.004167,0.120833,0.002083,0,0,0,0.096033,0,0.421889,0.450963,0.507965,0
9,0.014039,0.00432,0.00216,0,0,0.001081,0.002162,0,0.621061,0.672888,0.763925,0
9,0,0.064516,0.012903,0,0,0.019481,0.038961,0,0.567161,0.607833,0.689738,0
9,0.007547,0.090566,0.007547,0,0,0.015123,0.058601,0,0.176851,0.183352,0.193552,0
9,0,0,0,0,0,0.03125,0,0,0.547790,0.584858,0.661247,1
9,0,0.111702,0.005319,0,0,0.003552,0.094139,0,0.432621,0.461200,0.521782,0
9,0.000997,0.010967,0,0,0,0.003992,0.007984,0,0.775699,0.841604,0.956928,0
9,0,0.020305,0.010152,0,0,0.02551,0.015306,0,0.623170,0.667180,0.757328,0
9,0,0.18138,0.001605,0,0,0.014469,0.136656,0,0.269000,0.282456,0.309748,0
9,0,0.008547,0.008547,0,0,0.017241,0,0,0.245862,0.257041,0.281931,0
9,0.004794,0.078619,0.003835,0,0,0.004798,0.064299,0,0.401035,0.429955,0.483938,0
9,0.017062,0.011374,0,0,0,0.001898,0.00759,0,0.632974,0.686807,0.780020,0
9,0,0.00463,0.00463,0,0,0.046512,0,0,0.570282,0.608528,0.690557,0
9,0.010033,0.128763,0.001672,0,0,0.01005,0.097152,0,0.236059,0.249293,0.270087,0
9,0.035928,0.005988,0,0,0,0.006024,0,0,0.328519,0.351467,0.393290,1
9,0.046398,0.021978,0.001221,0,0,0.003667,0.01467,0,0.204519,0.220867,0.243697,0
9,0.033708,0.003745,0.007491,0,0,0.00375,0.0025,0,0.450486,0.488119,0.551767,0
9,0.091892,0.005405,0.005405,0,0,0.021739,0,0,0.363128,0.387640,0.436042,0
9,0,0.101289,0,0,0,0.01107,0.077491,0,0.218069,0.225069,0.240062,0
9,0,0.025,0,0,0,0.02521,0.008403,0,0.376985,0.398942,0.446296,0
9,0.017493,0.049563,0.001458,0,0,0.00292,0.035036,0,0.454017,0.489252,0.551424,0
9,0.01056,0,0,0,0,0.003171,0,0,0.756886,0.821425,0.935545,0
9,0,0.005525,0.01105,0,0,0.033333,0,0,0.601668,0.643990,0.731438,0
9,0,0.101868,0.005093,0,0,0.015306,0.078231,0,0.320700,0.338097,0.372716,0
9,0,0.068966,0,0,0,0.017391,0.026087,0,0.341296,0.359975,0.400672,0
9,0.007491,0.129213,0.003745,0,0,0.005629,0.106942,0,0.448782,0.480398,0.542838,0
9,0,0.004594,0,0,0,0.006897,0.001533,0,0.778029,0.843136,0.959575,1
9,0,0.033149,0,0,0,0.016667,0.016667,0,0.614391,0.659608,0.749818,0
9,0,0.155738,0.004918,0,0,0.004926,0.123153,0,0.328712,0.347809,0.383764,0
9,0,0,0.024,0,0,0.024194,0,0,0.455516,0.477976,0.535538,0
