@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature788 numeric
@attribute bi_feature809 numeric
@attribute bi_feature1223 numeric
@attribute bi_feature1301 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.016447,0,0,0,0,0,0.467094,0.484600,0.592303,0
0.007067,0,0,0,0,0,0.747173,0.784733,0.969197,0
0,0,0,0,0,0,0.438554,0.457068,0.551648,0
0.012968,0,0,0,0,0,0.222806,0.229598,0.262928,0
0,0,0,0,0,0,0.142331,0.139608,0.155070,0
0.00235,0,0,0,0,0,0.585506,0.610547,0.749615,0
0,0,0,0,0,0,0.765432,0.803492,0.992202,0
0.039773,0,0,0,0,0,0.369190,0.381483,0.463405,0
0.010081,0,0,0,0,0,0.234289,0.238776,0.275692,0
0,0,0,0,0,0,0.469541,0.486213,0.590620,1
0,0,0,0,0,0,0.742571,0.777462,0.959971,2
0,0,0,0,0,0,0.811406,0.851162,1.051977,2
0,0,0,0,0,0,0.520186,0.535334,0.654137,0
0,0,0,0,0,0,0.283775,0.289150,0.339783,2
0,0,0,0,0,0,0.371045,0.371201,0.449550,0
0,0,0,0,0,0,0.605597,0.633057,0.777032,0
0.004651,0,0,0,0,0,0.748188,0.784647,0.968927,0
0,0,0,0,0,0,0.592826,0.613909,0.752313,0
0,0,0,0,0,0,0.249760,0.253766,0.295008,0
0,0,0,0,0,0,0.434597,0.440831,0.538085,0
0,0,0,0,0,0,0.525605,0.547294,0.668492,0
0,0,0,0,0,0,0.741107,0.777660,0.959051,0
0,0,0,0,0,0,0.617825,0.640165,0.785206,0
0,0,0,0,0,0,0.223108,0.223557,0.257597,0
0,0,0,0,0,0,0.381831,0.391946,0.472260,0
0.005731,0,0,0,0,0,0.431686,0.448251,0.545348,0
0.02607,0,0,0,0,0,0.760181,0.798483,0.986392,1
0.040541,0,0,0,0,0,0.240434,0.248990,0.291762,0
0,0,0,0,0,0,0.263280,0.268036,0.311765,0
0.009174,0,0,0,0,0,0.040925,0.055145,0.020702,0
0.015203,0,0,0,0,0,0.036531,0.050085,0.017748,0
0.056202,0,0,0,0,0,0.020218,0.027108,0.008919,0
0.024845,0,0,0,0,0,0.031124,0.041208,0.015205,0
0,0,0,0,0,0,0.258449,0.259901,0.303513,0
0.06,0,0,0,0,0,0.079286,0.073634,0.070495,0
0,0,0,0,0,0,0.426754,0.439548,0.532783,0
0,0,0,0,0,0,0.794909,0.834686,1.032098,0
0.028736,0,0,0,0,0,0.445916,0.460137,0.556973,0
