@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature327 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.103563,0,0,0.061315,0,0.251579,0.255659,0.279417,0
0,0.253521,0,0,0.014184,0,0.277202,0.276221,0.307433,1
0.010536,0.10728,0,0,0.020134,0,0.417137,0.435710,0.496225,0
0,0.042305,0,0,0.00146,0,0.770614,0.815464,0.941710,0
0,0.047297,0,0,0.00339,0,0.628152,0.660587,0.760363,0
0,0.076121,0,0,0.055324,0,0.334382,0.346135,0.387577,1
0.062857,0.051429,0,0,0.045977,0,0.234626,0.245691,0.269738,0
0.019555,0.065725,0,0,0.022826,0,0.629160,0.664563,0.762974,0
0.020916,0.011839,0.000395,0,0.004737,0,0.679353,0.721885,0.831629,1
0,0.070896,0,0,0,0,0.615914,0.646371,0.744738,0
0.005414,0.071926,0,0,0.065015,0,0.273109,0.284057,0.314740,1
0.02809,0.106742,0,0,0.011299,0,0.322329,0.327666,0.371246,0
0.016512,0.112487,0,0,0.028926,0,0.480091,0.502358,0.571318,0
0.003431,0.011149,0,0,0.002575,0,0.842200,0.895230,1.035307,0
0,0.184669,0,0,0,0,0.641669,0.670486,0.772754,0
0,0.099788,0,0,0.059511,0,0.327224,0.336591,0.372265,0
0.088542,0.036458,0,0,0.015707,0,0.216979,0.225801,0.244107,0
0.043082,0.067937,0,0,0.005804,0,0.284596,0.301248,0.335984,0
0.046034,0.024404,0,0,0.004994,0,0.624641,0.662952,0.762975,1
0,0.116541,0,0,0.007547,0,0.532879,0.555387,0.638337,0
0.017503,0.063011,0,0,0.068925,0,0.177799,0.183349,0.195282,0
0,0.181373,0,0,0.019704,0,0.454815,0.468849,0.537439,0
0,0.058164,0,0,0.014727,0,0.641019,0.675768,0.777804,0
0.027246,0.015751,0,0,0.004259,0,0.697395,0.741895,0.855149,0
0.019048,0.190476,0,0,0.003185,0,0.523374,0.544899,0.626284,0
0,0.072437,0,0,0.080038,0,0.281019,0.289015,0.314938,0
0,0.137931,0,0,0,0,0.344103,0.351895,0.397434,0
0.002011,0.042225,0,0,0.014085,0,0.614700,0.650163,0.746455,0
0,0.01308,0,0,0.005236,0,0.817140,0.868052,1.002752,0
0,0.176471,0,0,0.00369,0,0.565431,0.591213,0.678312,0
0.031049,0.066381,0,0,0.063237,0,0.207559,0.213570,0.230001,0
0,0.104603,0,0,0.042017,0,0.475785,0.494737,0.566290,0
0.009709,0.099735,0,0,0.027385,0,0.494066,0.517828,0.591581,0
0,0.020111,0,0,0.002515,0,0.825748,0.875829,1.012876,0
0,0.181818,0,0,0,0,0.599191,0.624509,0.719830,0
0,0.065652,0,0,0.088571,0,0.323617,0.334712,0.370016,0
0.011696,0.046784,0,0,0.029412,0,0.147764,0.153178,0.162707,0
0.008889,0.095556,0,0,0.026696,0,0.401043,0.418233,0.472901,0
0,0.025781,0,0,0.000782,0,0.798674,0.846439,0.977952,0
0,0.220532,0,0,0,0,0.581067,0.603403,0.695326,0
0.027115,0.105206,0,0,0.04126,0,0.156232,0.158277,0.165614,1
0,0.142857,0,0,0.022099,0,0.407078,0.419731,0.476643,0
0,0.097933,0,0,0.022876,0,0.533388,0.558832,0.640410,0
0,0.013803,0,0,0.004834,0,0.835697,0.887055,1.026135,1
0,0.043321,0,0,0.007246,0,0.646211,0.681038,0.784342,0
0,0.072009,0,0,0.069767,0,0.270571,0.276359,0.304878,0
0,0.267974,0,0,0,0,0.321645,0.319059,0.361907,0
0.019743,0.115499,0,0,0.025692,0,0.507749,0.530798,0.607217,0
0.009187,0.010601,0,0,0.000707,0,0.782244,0.831519,0.960935,0
0.003497,0.104895,0,0,0,0,0.467852,0.491465,0.561957,0
0.020743,0.045808,0,0,0.053633,0,0.246906,0.256769,0.281299,0
0,0.140244,0,0,0.03681,0,0.183576,0.181948,0.195441,0
0.002819,0.086681,0,0,0.016925,0,0.619136,0.651868,0.748437,0
0,0.006961,0,0,0.004644,0,0.796680,0.846269,0.977494,0
0.068027,0.129252,0,0,0.003413,0,0.400057,0.416784,0.476526,0
0.01451,0.108827,0,0,0.039952,0,0.264680,0.271554,0.296964,0
0,0.087336,0,0,0.017544,0,0.495486,0.518569,0.590459,1
0,0.052817,0,0,0.004696,0,0.775537,0.820865,0.947730,2
0,0.023699,0,0,0.004649,0,0.841270,0.892970,1.032614,2
0,0.161172,0,0,0,0,0.558080,0.580828,0.668035,0
0,0.088913,0,0,0.048352,0,0.308262,0.317233,0.353916,2
0,0.281768,0,0,0,0,0.406574,0.410158,0.468219,0
0,0.060191,0,0,0.0161,0,0.638242,0.673909,0.775751,0
0.008372,0.01907,0,0,0.002792,0,0.779496,0.827384,0.956339,0
0,0.131086,0,0,0.011278,0,0.618390,0.647273,0.745655,0
0,0.069277,0,0,0.070352,0,0.278803,0.286362,0.314801,0
0,0.306358,0,0,0.005814,0,0.475911,0.485635,0.557262,0
0,0.049734,0,0,0.020444,0,0.561900,0.591172,0.675255,0
0.001048,0.014144,0,0,0.004717,0,0.774056,0.821942,0.947492,0
0,0.117216,0,0,0.003676,0,0.640673,0.672037,0.773938,0
0,0.109905,0,0,0.054348,0,0.253646,0.256551,0.279289,0
0,0.106599,0,0,0.030612,0,0.407317,0.422360,0.477969,0
0.007739,0.095443,0,0,0.012048,0,0.467461,0.489952,0.557027,0
0.031676,0.00842,0.000802,0,0.002006,0,0.790786,0.840806,0.971810,1
0.064777,0.125506,0,0,0.00813,0,0.268615,0.279191,0.313978,0
0,0.100105,0,0,0.052743,0,0.284134,0.291556,0.322061,0
0.038462,0,0,0,0,0,0.040697,0.053796,0.040392,0
0.01925,0,0,0,0,0,0.036992,0.049514,0.036106,0
0.076119,0,0,0,0,0,0.022599,0.030208,0.019619,0
0.04461,0,0,0,0,0,0.031672,0.041119,0.030693,0
0,0.116142,0,0,0.064039,0,0.287625,0.292177,0.321557,0
0.071856,0.179641,0,0,0.036145,0,0.095143,0.087438,0.084880,0
0,0.108475,0,0,0.023756,0,0.458502,0.476673,0.542500,0
0.000852,0.024702,0,0,0.001705,0,0.827063,0.878361,1.015498,0
0.041237,0.158076,0,0,0,0,0.468286,0.487771,0.558228,0
0.005639,0.067669,0,0,0.039511,0,0.274121,0.286910,0.310946,1
0.019704,0.039409,0,0,0.034653,0,0.192393,0.201428,0.219187,0
0.057818,0.066775,0,0.000815,0.02282,0,0.297773,0.313283,0.349504,1
0.022939,0.00372,0,0,0.014888,0,0.737916,0.785340,0.905170,0
0,0.195312,0,0,0.007843,0,0.618425,0.645201,0.742364,0
0.031343,0.061692,0,0,0.021901,0,0.583344,0.615748,0.704015,0
0,0.137405,0,0,0.046154,0,0.212344,0.209227,0.227071,0
0,0.073609,0,0,0.025749,0,0.579268,0.609969,0.698173,0
0.042401,0.015419,0,0,0.004408,0,0.673972,0.716568,0.825954,1
0,0.2375,0,0,0.004184,0,0.511891,0.527805,0.605133,0
0,0.130381,0,0,0.051724,0,0.252675,0.254274,0.279137,0
0,0.083832,0,0,0.024096,0,0.387391,0.399534,0.456023,0
0,0.147942,0,0,0.044543,0,0.428884,0.444084,0.506112,0
0.011263,0.022526,0,0,0.008857,0,0.779513,0.827642,0.955946,0
0,0.17037,0,0,0,0,0.599328,0.624771,0.719066,0
0,0.113662,0,0,0.041379,0,0.294702,0.301477,0.330042,0
0,0.012766,0,0,0.042735,0,0.453538,0.476904,0.539345,1
0.004594,0.096478,0,0,0.011494,0,0.575594,0.603981,0.693700,2
0.003025,0.010586,0,0,0.00416,0,0.825997,0.877119,1.013965,2
0.003145,0.04717,0,0,0,0,0.335638,0.358027,0.402971,0
0,0.080412,0,0,0.028896,0,0.301585,0.314769,0.350610,2
0,0.149533,0,0,0.00939,0,0.454184,0.469999,0.535832,0
0,0.092809,0,0,0.026778,0,0.486580,0.510338,0.582627,0
0.018027,0.021532,0,0,0.006012,0,0.736329,0.781631,0.901422,1
0,0.154122,0,0,0,0,0.647649,0.677642,0.781561,0
0,0.091667,0,0,0.036949,0.001192,0.231462,0.235613,0.253591,1
