@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute bi_feature12 numeric
@attribute bi_feature279 numeric
@attribute bi_feature327 numeric
@attribute bi_feature841 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.091434,0,0,0,0.069364,0.012524,0,0.298044,0.301578,0.337073,0
0.010204,0.081633,0,0,0,0.046154,0.020513,0,0.280017,0.285302,0.319373,0
0.007476,0.086256,0,0,0,0.078251,0.004603,0,0.441419,0.457613,0.521059,0
0.019898,0.014213,0,0,0,0.00967,0.002844,0,0.670417,0.702752,0.809281,0
0,0.183333,0,0,0,0.155989,0.027855,0,0.605352,0.623592,0.718011,0
0.012036,0.051153,0,0,0,0.033133,0.014056,0,0.262534,0.270938,0.297799,0
0.039427,0.043011,0,0,0,0.010791,0.014388,0,0.362798,0.378765,0.428621,1
0.061493,0.032211,0,0,0,0.025641,0.003663,0,0.222459,0.239821,0.263286,0
0.048689,0.01573,0,0,0,0.007496,0.005997,0,0.486528,0.511521,0.584608,0
0.097403,0.090909,0,0,0,0.071661,0.016287,0,0.392744,0.407766,0.463266,0
0,0.060706,0,0,0,0.041989,0.01768,0,0.243381,0.243848,0.265595,0
0,0.085,0,0,0,0.045226,0.040201,0,0.417974,0.428939,0.487610,0
0.020979,0.035839,0,0,0,0.027122,0.004374,0,0.496854,0.517334,0.590648,0
0.015199,0.017733,0,0,0,0.014575,0.002535,0,0.797279,0.834986,0.965178,0
0,0.169435,0,0,0,0.136667,0.02,0,0.635753,0.655871,0.756265,0
0,0.087666,0,0,0,0.064286,0.017347,0,0.344820,0.350878,0.394873,0
0,0.11399,0,0,0,0.0625,0.036458,0,0.376860,0.385056,0.437236,0
0.008989,0.122472,0,0,0,0.113611,0.004499,0,0.487775,0.501607,0.573871,0
0,0.022059,0,0,0,0.014713,0.005977,0,0.817180,0.854513,0.987531,1
0,0.145695,0,0,0,0.122924,0.013289,0,0.652451,0.674650,0.777705,0
0,0.04626,0,0,0,0.025616,0.013793,0,0.355259,0.363352,0.408874,0
0,0.148325,0,0,0,0.120192,0.028846,0,0.482931,0.492303,0.560674,0
0,0.105473,0,0,0,0.09761,0.00498,0,0.587011,0.606778,0.695526,0
0.002101,0.02381,0,0,0,0.017519,0.005606,0,0.796477,0.832773,0.961392,0
0,0.153846,0,0,0,0.124161,0.026846,0,0.622124,0.640484,0.738115,0
0,0.131929,0,0,0,0.103219,0.024417,0,0.249141,0.247975,0.267833,0
0,0.166667,0,0,0,0.11976,0.017964,0,0.367606,0.372193,0.421965,0
0,0.059774,0,0,0,0.054141,0.003636,0,0.711743,0.740995,0.854281,2
0,0.012573,0,0,0,0.007741,0.00387,0,0.837501,0.876518,1.013110,1
0,0.141176,0,0,0,0.117994,0.023599,0,0.668757,0.691115,0.796359,0
0,0.070159,0,0,0,0.048689,0.018727,0,0.317691,0.325559,0.360942,0
0.020833,0.182292,0,0,0,0.141361,0.020942,0,0.170382,0.167366,0.180954,0
0.004662,0.125874,0,0.001167,0,0.114352,0.007001,0,0.433657,0.444542,0.507826,0
0.017849,0.010984,0,0,0,0.006868,0.002747,0,0.807021,0.845257,0.976547,0
0,0.140523,0,0,0,0.111475,0.022951,0,0.647544,0.668846,0.771359,0
0,0.103563,0,0,0,0.074693,0.023411,0,0.254942,0.255659,0.279417,0
0,0.253521,0,0,0,0.205674,0.021277,0,0.281067,0.276221,0.307433,1
0.010536,0.10728,0,0,0,0.089166,0.005753,0,0.422287,0.435710,0.496225,0
0,0.042305,0,0,0,0.030657,0.009489,0,0.781449,0.815464,0.941710,0
0,0.047297,0,0,0,0.033898,0.00678,0,0.636922,0.660587,0.760363,0
0,0.076121,0,0,0,0.05428,0.016701,0,0.339080,0.346135,0.387577,1
0.062857,0.051429,0,0,0,0.034483,0.011494,0,0.235621,0.245691,0.269738,0
0.019555,0.065725,0,0,0,0.054348,0.008152,0,0.637688,0.664563,0.762974,0
0.020916,0.011839,0.000395,0.000395,0,0.007501,0.003158,0,0.688487,0.721885,0.831629,1
0,0.070896,0,0,0,0.044944,0.022472,0,0.624495,0.646371,0.744738,0
0.005414,0.071926,0,0,0,0.051858,0.01548,0,0.275315,0.284057,0.314740,1
0.02809,0.106742,0,0,0,0.067797,0.039548,0,0.326497,0.327666,0.371246,0
0.016512,0.112487,0,0,0,0.099174,0.005165,0,0.486641,0.502358,0.571318,0
0.003431,0.011149,0,0,0,0.008584,0.002575,0,0.853995,0.895230,1.035307,0
0,0.184669,0,0,0,0.157343,0.020979,0,0.650629,0.670486,0.772754,0
0,0.099788,0,0,0,0.080765,0.018066,0,0.331682,0.336591,0.372265,0
0.088542,0.036458,0,0,0,0.015707,0.010471,0,0.218249,0.225801,0.244107,0
0.043082,0.067937,0,0,0,0.06136,0.004146,0,0.286045,0.301248,0.335984,0
0.046034,0.024404,0,0,0,0.018868,0.003885,0,0.633008,0.662952,0.762975,1
0,0.116541,0,0,0,0.086792,0.022642,0,0.540253,0.555387,0.638337,0
0.017503,0.063011,0,0,0,0.038551,0.021028,0,0.177511,0.183349,0.195282,0
0,0.181373,0,0,0,0.152709,0.019704,0,0.461215,0.468849,0.537439,0
0,0.058164,0,0,0,0.04979,0.004909,0,0.650163,0.675768,0.777804,0
0.027246,0.015751,0,0,0,0.011925,0.002981,0,0.706806,0.741895,0.855149,0
0.019048,0.190476,0,0,0,0.159236,0.025478,0,0.530153,0.544899,0.626284,0
0,0.072437,0,0,0,0.051789,0.018832,0,0.284999,0.289015,0.314938,0
0,0.137931,0,0,0,0.092486,0.028902,0,0.348864,0.351895,0.397434,0
0.002011,0.042225,0,0,0,0.034876,0.004024,0,0.623033,0.650163,0.746455,0
0,0.01308,0,0,0,0.007853,0.004581,0,0.828592,0.868052,1.002752,0
0,0.176471,0,0,0,0.151292,0.02214,0,0.572244,0.591213,0.678312,0
0.031049,0.066381,0,0,0,0.039657,0.021436,0,0.208612,0.213570,0.230001,0
0,0.104603,0,0,0,0.071429,0.02521,0,0.482444,0.494737,0.566290,0
0.009709,0.099735,0,0,0,0.091873,0.004417,0,0.500537,0.517828,0.591581,0
0,0.020111,0,0,0,0.012575,0.006036,0,0.837387,0.875829,1.012876,0
0,0.181818,0,0,0,0.153285,0.018248,0,0.607571,0.624509,0.719830,0
0,0.065652,0,0,0,0.045714,0.018095,0,0.328154,0.334712,0.370016,0
0.011696,0.046784,0,0,0,0.029412,0,0,0.147515,0.153178,0.162707,0
0.008889,0.095556,0,0,0,0.084538,0.008899,0,0.406482,0.418233,0.472901,0
0,0.025781,0,0,0,0.015637,0.0086,0,0.809919,0.846439,0.977952,0
0,0.220532,0,0,0,0.19084,0.026718,0,0.589236,0.603403,0.695326,0
0.027115,0.105206,0,0,0,0.07709,0.021716,0,0.155952,0.158277,0.165614,1
0,0.142857,0,0,0,0.127072,0.01105,0,0.412782,0.419731,0.476643,0
0,0.097933,0,0,0,0.086057,0.005447,0,0.541052,0.558832,0.640410,0
