@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0.020183,0.284213,0.291255,0.327561,2
0,0,0,0.056075,0.371721,0.373928,0.431213,0
0,0,0,0.00597,0.606770,0.638273,0.745238,0
0.004651,0,0,0.006206,0.749717,0.791085,0.927144,0
0,0,0,0.018868,0.594006,0.618699,0.720137,0
0,0,0,0.015101,0.250109,0.255958,0.283620,0
0,0,0,0.048544,0.435366,0.444440,0.516443,0
0,0,0,0.005935,0.526611,0.551992,0.640053,0
0,0,0,0.002622,0.742614,0.784223,0.917777,0
0,0,0,0.02454,0.619069,0.645151,0.751429,0
0,0,0,0.020408,0.223438,0.225594,0.247764,0
0,0,0,0.008547,0.382499,0.394935,0.451978,0
0.005731,0,0,0.007174,0.432484,0.452121,0.523289,0
0.02607,0,0,0.002676,0.761732,0.805045,0.944003,1
0.040541,0,0,0.020408,0.240835,0.250418,0.284537,0
0,0,0,0.017606,0.263639,0.270055,0.300787,0
0.009174,0,0,0,0.040962,0.053660,0.040574,0
0.015203,0,0,0,0.036562,0.048660,0.035687,0
0.056202,0,0,0,0.020224,0.026069,0.017526,0
0.024845,0,0,0,0.031128,0.039991,0.030062,0
0,0,0,0.021382,0.258847,0.262023,0.291226,0
0.06,0,0,0.030303,0.079319,0.073710,0.071164,0
0,0,0,0.020755,0.427556,0.443081,0.510856,0
0,0,0,0,0.796517,0.841680,0.987676,0
0.028736,0,0,0.028902,0.446782,0.463413,0.536428,0
0.004702,0,0,0.012559,0.254774,0.266437,0.292516,1
0.016529,0,0,0,0.164558,0.170941,0.187998,0
0.040706,0.001359,0,0.006793,0.268041,0.281316,0.319124,1
0.015512,0,0,0,0.704521,0.745415,0.871927,0
0,0,0,0.026316,0.583215,0.606558,0.707566,0
0.026534,0,0,0.009129,0.555545,0.583978,0.677888,0
0,0,0,0.020202,0.360634,0.370771,0.427161,0
0,0,0,0.01487,0.390533,0.404582,0.467442,0
0.008043,0,0,0.006711,0.753537,0.795450,0.931638,0
0,0,0,0.031056,0.564249,0.586306,0.683830,0
0,0,0,0.023033,0.268659,0.272906,0.301246,0
0,0,0,0.007143,0.423944,0.444195,0.509489,1
0.003831,0,0,0.002558,0.539216,0.564581,0.658569,2
0.00252,0,0,0.001261,0.797957,0.842851,0.988380,2
0,0,0,0.010582,0.314650,0.334380,0.381796,0
0,0,0,0.013769,0.277778,0.289952,0.325884,2
0,0,0,0.023622,0.420626,0.433743,0.500054,0
0,0,0,0.01676,0.457102,0.477589,0.552169,0
0.013356,0,0,0.004177,0.706394,0.745595,0.872532,1
0,0,0,0.03012,0.614568,0.641491,0.749935,0
0,0,0,0.011928,0.206280,0.209324,0.226886,1
