@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0,0,0.805920,0.848531,0.987676,0
0.028736,0,0,0.028902,0,0.451227,0.466637,0.536428,0
0.004702,0,0,0.012559,0.00157,0.255577,0.267631,0.292516,1
0.016529,0,0,0,0,0.166147,0.171798,0.187998,0
0.040706,0.001359,0,0.006793,0,0.270089,0.283108,0.319124,1
0.015512,0,0,0,0,0.712551,0.751447,0.871927,0
0,0,0,0.026316,0,0.590458,0.610971,0.707566,0
0.026534,0,0,0.009129,0,0.561895,0.588319,0.677888,0
0,0,0,0.025974,0,0.181558,0.175293,0.189368,0
0,0,0,0.008991,0,0.555958,0.580709,0.669310,0
0.035813,0,0,0.001838,0.000919,0.655458,0.690958,0.801527,1
0,0,0,0.041958,0,0.480043,0.491167,0.566552,0
0,0,0,0.01848,0,0.231840,0.229348,0.251042,0
0,0,0,0.020202,0,0.365272,0.373002,0.427161,0
0,0,0,0.01487,0,0.395446,0.407131,0.467442,0
0.008043,0,0,0.006711,0,0.762419,0.801848,0.931638,0
0,0,0,0.031056,0,0.571282,0.590558,0.683830,0
0,0,0,0.023033,0,0.272038,0.273907,0.301246,0
0,0,0,0.007143,0,0.429128,0.447060,0.509489,1
0.003831,0,0,0.002558,0,0.545741,0.568684,0.658569,2
0.00252,0,0,0.001261,0,0.807453,0.849670,0.988380,2
0,0,0,0.010582,0,0.315834,0.336769,0.381796,0
0,0,0,0.013769,0,0.278854,0.291476,0.325884,2
0,0,0,0.023622,0,0.425994,0.436523,0.500054,0
0,0,0,0.01676,0,0.462227,0.480872,0.552169,0
0.013356,0,0,0.004177,0,0.714676,0.751570,0.872532,1
0,0,0,0.03012,0,0.622132,0.646301,0.749935,0
0,0,0,0.011928,0,0.207911,0.209909,0.226886,1
