@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0,0,0.015101,0,0.249666,0.256807,0.285007,0
0,0,0,0.048544,0,0.434654,0.447246,0.518761,0
0,0,0,0.005935,0,0.525049,0.555882,0.642621,0
0,0,0,0.002622,0,0.740104,0.790488,0.921153,0
0,0,0,0.02454,0,0.617490,0.649893,0.754359,0
0,0,0,0.020408,0,0.223118,0.226108,0.249158,0
0,0,0,0.008547,0,0.381704,0.397340,0.453899,0
0.005731,0,0,0.007174,0,0.431185,0.455228,0.525435,0
0.02607,0,0,0.002676,0,0.759187,0.811633,0.947317,1
0.040541,0,0,0.020408,0,0.240343,0.251947,0.285324,0
0,0,0,0.017606,0,0.263272,0.271111,0.302100,0
0.009174,0,0,0,0,0.040813,0.053621,0.039084,0
0.015203,0,0,0,0,0.036386,0.048620,0.034573,0
0.056202,0,0,0,0,0.019878,0.026190,0.016596,0
0.024845,0,0,0,0,0.030939,0.039966,0.028649,0
0,0,0,0.021382,0,0.258555,0.262918,0.292800,0
0.06,0,0,0.030303,0,0.079580,0.073357,0.071410,0
0,0,0,0.020755,0,0.426590,0.445905,0.513013,0
0,0,0,0,0,0.793877,0.848531,0.991277,0
0.028736,0,0,0.028902,0,0.445765,0.466637,0.538232,0
0.004702,0,0,0.012559,0.00157,0.254084,0.267631,0.293557,1
0.016529,0,0,0,0,0.164096,0.171798,0.188584,0
0.040706,0.001359,0,0.006793,0,0.267230,0.283108,0.320080,1
0.015512,0,0,0,0,0.702102,0.751447,0.874948,0
0,0,0,0.026316,0,0.581705,0.610971,0.710384,0
0.026534,0,0,0.009129,0,0.553790,0.588319,0.680396,0
0,0,0,0.025974,0,0.179196,0.175293,0.190614,0
0,0,0,0.008991,0,0.547857,0.580709,0.671859,0
0.035813,0,0,0.001838,0.000919,0.646192,0.690958,0.804245,1
0,0,0,0.041958,0,0.473041,0.491167,0.568998,0
0,0,0,0.01848,0,0.228629,0.229348,0.252342,0
0,0,0,0.020202,0,0.360145,0.373002,0.429062,0
0,0,0,0.01487,0,0.389744,0.407131,0.469418,0
0.008043,0,0,0.006711,0,0.751088,0.801848,0.934998,0
0,0,0,0.031056,0,0.562876,0.590558,0.686573,0
0,0,0,0.023033,0,0.268168,0.273907,0.302776,0
0,0,0,0.007143,0,0.422758,0.447060,0.511581,1
0.003831,0,0,0.002558,0,0.537722,0.568684,0.661154,2
0.00252,0,0,0.001261,0,0.795340,0.849670,0.992000,2
0,0,0,0.010582,0,0.313608,0.336769,0.382776,0
0,0,0,0.013769,0,0.277332,0.291476,0.326944,2
0,0,0,0.023622,0,0.419752,0.436523,0.502193,0
0,0,0,0.01676,0,0.455879,0.480872,0.554257,0
0.013356,0,0,0.004177,0,0.704063,0.751570,0.875668,1
0,0,0,0.03012,0,0.612965,0.646301,0.752907,0
0,0,0,0.011928,0,0.206063,0.209909,0.228009,1
