@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature27 numeric
@attribute bi_feature10 numeric
@attribute bi_feature735 numeric
@attribute bi_feature843 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1044 numeric
@attribute bi_feature1272 numeric
@attribute bi_feature1393 numeric
@attribute bi_feature1507 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.028846,0,0.019417,0.009709,0.009709,0,0.009709,0,0,0.311426,0.333012,0.377879,0
0,0.208955,0,0,0,0,0.045455,0,0,0,0.251999,0.258896,0.282224,0
0,0.047619,0,0,0.016129,0,0.032258,0,0,0,0.050250,0.049273,0.038808,1
0.025547,0.032847,0,0,0.007326,0,0.007326,0,0,0,0.208129,0.231693,0.252203,0
0.022866,0.01372,0,0,0,0,0.006107,0,0,0,0.416698,0.462162,0.529320,0
0,0.012658,0,0,0,0.012821,0.012821,0,0,0,0.356310,0.387841,0.436569,0
0,0.134328,0,0.003745,0.007491,0.011236,0.029963,0.007491,0,0,0.263860,0.269137,0.295922,0
0,0.030769,0,0,0,0,0,0,0,0,0.470282,0.506180,0.576969,0
0,0.058172,0,0.002778,0.008333,0.013889,0.005556,0.002778,0,0,0.520296,0.569483,0.654931,0
0,0.007962,0,0.001595,0,0.00319,0.004785,0.001595,0,0,0.667923,0.737011,0.850777,0
0,0,0,0,0.012346,0.012346,0,0.012346,0,0,0.557644,0.604015,0.693866,0
0.003546,0.184397,0,0,0.017794,0.014235,0.021352,0.003559,0,0,0.205116,0.207499,0.225088,0
0,0.018182,0,0,0.018519,0.018519,0.018519,0,0,0,0.368074,0.389585,0.441386,1
0,0.166023,0,0,0.007752,0.007752,0.01938,0.003876,0,0,0.324852,0.346630,0.387417,0
0,0.014925,0,0.001869,0.001869,0.001869,0.003738,0,0,0,0.710652,0.785821,0.907788,0
0,0,0,0.013514,0.027027,0.013514,0,0.027027,0,0,0.475967,0.511329,0.584108,0
0,0.152941,0,0.003937,0.019685,0.007874,0.03937,0,0,0,0.234634,0.239993,0.263195,0
0,0.066667,0,0,0,0,0.033898,0,0,0,0.334819,0.361295,0.408029,0
0,0.055375,0,0,0.009804,0.009804,0.01634,0,0,0,0.379860,0.413625,0.475394,0
0,0.014218,0,0,0.001582,0.001582,0.004747,0.001582,0,0,0.688003,0.760880,0.878984,0
0,0.010101,0,0,0.030612,0.040816,0.010204,0,0,0,0.574069,0.624992,0.719557,0
0,0.280645,0,0,0.003236,0,0.029126,0,0,0,0.265211,0.277814,0.305017,0
0,0.138462,0,0,0,0,0.046875,0,0,0,0.304192,0.326402,0.365791,0
0,0.087719,0,0,0.010563,0.014085,0.010563,0.014085,0,0,0.397891,0.431347,0.495150,0
0.001942,0.025243,0,0,0,0,0.003891,0.001946,0,0,0.734803,0.812812,0.939194,0
0,0.01087,0,0,0.021978,0.032967,0,0.010989,0,0,0.548895,0.598013,0.688456,0
0,0.210843,0,0,0.006042,0.006042,0.015106,0.003021,0,0,0.252784,0.262942,0.291168,0
0,0.145833,0,0,0,0,0.085106,0,0,0,0.315591,0.333708,0.368049,0
0,0.092537,0,0,0.005988,0.005988,0.002994,0.005988,0,0,0.440061,0.482164,0.552612,1
0.004233,0.009524,0.001059,0,0,0,0.003178,0,0,0,0.645118,0.714044,0.824627,2
0,0.084211,0,0,0,0,0.010638,0,0,0,0.490170,0.533008,0.608987,0
0,0.169611,0,0,0.007092,0.014184,0.021277,0,0,0,0.247497,0.253983,0.279536,1
0,0,0,0,0.012987,0.025974,0,0,0,0,0.434268,0.468211,0.532350,0
0,0.108333,0,0.004184,0.008368,0,0.012552,0,0,0,0.349845,0.380570,0.435365,0
0.00432,0.015119,0,0.004329,0.002165,0,0,0.002165,0,0,0.538770,0.594463,0.684392,0
0,0.051948,0,0,0.013158,0.013158,0,0,0,0,0.490194,0.531279,0.608796,0
0.003774,0.188679,0,0.003788,0.003788,0.003788,0.018939,0.003788,0,0,0.152602,0.156842,0.161618,0
0,0.03125,0,0,0.010526,0.010526,0.021053,0,0,0,0.489905,0.521874,0.595565,1
0,0.070922,0,0.007117,0.010676,0.003559,0.010676,0.003559,0,0,0.361692,0.392834,0.450343,0
0,0.007984,0,0,0.002,0.002,0,0,0,0,0.705992,0.781305,0.901894,0
0,0,0,0.010309,0.020619,0.020619,0,0.010309,0,0,0.565505,0.613231,0.706328,0
0,0.212219,0,0,0.003226,0.003226,0.035484,0,0,0,0.242885,0.253204,0.278647,0
0,0.068966,0,0,0,0,0.035088,0,0,0,0.205008,0.211256,0.229868,0
0,0.080614,0,0,0.007692,0.007692,0.005769,0.003846,0,0,0.338427,0.369488,0.420802,0
0.009488,0.028463,0,0,0,0,0.007605,0,0,0,0.567257,0.627194,0.721685,0
0,0,0,0,0.018692,0.037383,0,0.018692,0,0,0.511485,0.551500,0.634417,0
0.003344,0.214047,0,0,0.003356,0.010067,0.02349,0.003356,0,0,0.202854,0.213998,0.229969,0
0.012048,0.012048,0,0,0,0,0,0,0,0,0.267987,0.287797,0.319546,1
0.02934,0.022005,0,0,0.002451,0.002451,0.009804,0,0,0,0.174594,0.195383,0.210619,0
0.0075,0.015,0,0.005013,0,0,0,0.010025,0,0,0.387608,0.427541,0.489254,0
0.076087,0.021739,0,0,0.010989,0.021978,0,0.010989,0,0,0.304545,0.327809,0.370812,0
0,0.265683,0,0,0.011111,0.007407,0.02963,0.007407,0,0,0.192895,0.191525,0.204774,0
0,0.066667,0,0,0,0,0.033898,0,0,0,0.335446,0.352351,0.393401,0
0.008746,0.078717,0,0,0.002924,0,0.008772,0,0,0,0.373174,0.408192,0.465375,0
0.004228,0.002114,0,0,0.002119,0.002119,0,0,0,0,0.681212,0.753723,0.870939,0
0,0,0,0.011236,0.033708,0.033708,0,0.022472,0,0,0.533763,0.579105,0.667722,0
0,0.214286,0,0,0.006826,0.003413,0.027304,0.003413,0,0,0.277784,0.291557,0.323108,0
0,0.103448,0,0,0,0,0.052632,0,0,0,0.293125,0.309288,0.344791,0
0.003745,0.093633,0,0.003759,0.003759,0.011278,0.015038,0.007519,0,0,0.377265,0.411080,0.471433,0
0,0.01072,0,0,0.001534,0,0.003067,0.001534,0,0,0.708327,0.781546,0.902167,1
0,0.011111,0,0,0.022472,0.022472,0,0.022472,0,0,0.538986,0.588151,0.677651,0
0,0.206557,0,0.003289,0,0,0.032895,0.003289,0,0,0.290582,0.306115,0.340525,0
0,0.016129,0,0.016393,0.032787,0.032787,0.016393,0.016393,0,0,0.393775,0.413703,0.469405,0
0,0.093023,0,0,0.006667,0.01,0.006667,0.013333,0,0,0.473301,0.517281,0.594215,0
0,0.009346,0,0.004684,0.002342,0.002342,0,0.004684,0,0,0.677770,0.747997,0.863504,0
0,0,0,0,0.034091,0.034091,0,0.011364,0,0,0.520273,0.559577,0.643870,0
0,0.196296,0,0,0.01487,0.026022,0.026022,0.003717,0,0,0.187841,0.188732,0.201515,0
0,0.12,0,0,0.020408,0.020408,0.040816,0,0,0,0.291680,0.305512,0.341479,0
0,0.060647,0,0,0.006748,0.006748,0.004049,0.005398,0,0,0.604474,0.665399,0.767613,2
0,0.027419,0,0,0,0,0.006462,0,0,0,0.729951,0.806072,0.931034,1
0,0,0,0,0.019802,0.039604,0,0.009901,0,0,0.570289,0.618277,0.712074,0
0,0.24375,0,0,0.003135,0.003135,0.025078,0,0,0,0.265114,0.278640,0.306079,0
0,0.070175,0,0,0.035714,0.035714,0.035714,0,0,0,0.120058,0.116384,0.119286,0
0,0.081712,0,0,0.011719,0.015625,0.007812,0.007812,0,0,0.313519,0.338473,0.386824,0
0.012214,0.025954,0,0,0,0,0.007645,0,0,0,0.697857,0.772155,0.891625,0
0,0,0,0.022222,0.011111,0.022222,0,0.011111,0,0,0.554749,0.599412,0.689157,0
