@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature22 numeric
@attribute mono_feature25 numeric
@attribute bi_feature327 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1039 numeric
@attribute bi_feature1041 numeric
@attribute bi_feature1324 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0,0.05,0.038462,0,0.019305,0.007722,0.007722,0,0.660284,0.686052,0.799011,0
0,0.076426,0.160388,0,0.025862,0.014009,0.020474,0,0.334495,0.339242,0.384520,2
0.127551,0.015306,0.142857,0,0,0.020513,0.051282,0,0.155992,0.159036,0.169557,0
0.001241,0.055831,0.032258,0,0.005587,0.006828,0.014277,0,0.633760,0.660821,0.767244,0
0.004077,0.028169,0.006301,0,0.003337,0.001112,0.003337,0,0.798479,0.834521,0.976325,2
0,0.086957,0.013378,0,0.020134,0,0,0,0.668554,0.692571,0.808480,0
0.031712,0.063425,0.091966,0,0.020106,0.012698,0.050794,0,0.211219,0.216896,0.232511,0
0.02809,0,0.202247,0,0,0.033898,0.056497,0,0.387449,0.404036,0.457501,0
0,0.081778,0.067556,0,0.004448,0.010676,0.02669,0,0.624321,0.647787,0.753025,0
0,0.003759,0.009868,0,0.00047,0.002821,0.006582,0,0.866071,0.906263,1.060955,0
0,0.114754,0.061475,0,0.028807,0,0.004115,0,0.598052,0.617394,0.719074,0
0,0.125152,0.137303,0,0.027981,0.030414,0.085158,0,0.249889,0.249658,0.275514,0
0.011236,0.129213,0.073034,0,0.016949,0.022599,0.022599,0,0.252044,0.253344,0.281343,0
0,0.090997,0.048403,0,0.008721,0.00969,0.028101,0,0.588889,0.609490,0.706519,0
0.000666,0.01932,0.012658,0,0.003333,0.003333,0.006667,0,0.787306,0.822605,0.961041,0
0.022581,0.158065,0.003226,0,0.029126,0,0,0,0.481245,0.494426,0.573477,0
0,0.174142,0.063325,0,0.030383,0.01321,0.050198,0,0.249478,0.248116,0.272212,0
0,0.032864,0.253521,0,0,0.018868,0.037736,0,0.509467,0.529337,0.612516,1
0,0.053026,0.060519,0,0.000577,0.00519,0.008651,0,0.676726,0.704962,0.821176,0
0,0.000725,0.007971,0,0.000362,0.002537,0.003625,0,0.859099,0.899090,1.052139,0
0,0.106529,0.054983,0,0.017241,0.003448,0.003448,0,0.669471,0.693189,0.809871,0
0,0.106638,0.162133,0,0.038126,0.01634,0.043573,0,0.310380,0.313375,0.353714,0
0,0.067308,0.057692,0,0.004831,0.014493,0.014493,0,0.329079,0.344237,0.390110,1
0,0.118681,0.123077,0,0.0044,0.006601,0.016502,0,0.482258,0.496392,0.573694,0
0.013958,0.010806,0.008104,0,0.002703,0.001351,0.005405,0.00045,0.678951,0.710560,0.828421,1
0.020057,0.091691,0.054441,0,0.014368,0.002874,0.008621,0,0.419514,0.432483,0.499005,0
0,0.080717,0.219731,0,0.022523,0.027027,0.067568,0,0.296321,0.301133,0.339976,0
0.023474,0.061033,0.004695,0,0.014151,0.004717,0.023585,0,0.057268,0.058950,0.051271,1
0.045952,0.06674,0.019694,0,0.004381,0.002191,0.01862,0,0.298916,0.314407,0.351947,0
0.05807,0.005944,0.007316,0,0.002745,0.002287,0.007319,0,0.513061,0.538620,0.624956,0
0.030418,0.060837,0.007605,0,0.007634,0,0.022901,0,0.412323,0.429775,0.493702,0
0,0.10962,0.059284,0,0.029115,0.008959,0.051512,0,0.311462,0.314837,0.352710,0
0,0.105023,0.018265,0,0.027523,0.009174,0.018349,0,0.556021,0.573286,0.666329,0
0,0.085619,0.051538,0,0.009983,0.005824,0.021631,0,0.626227,0.649435,0.754657,0
0.004773,0.025776,0.010024,0,0.004776,0.00191,0.003343,0,0.779373,0.813846,0.952194,0
0,0.076642,0.018248,0,0.014652,0,0.007326,0,0.648318,0.671022,0.782985,0
0.011677,0.117834,0.110403,0,0.022317,0.019129,0.058448,0,0.261534,0.263380,0.289464,0
0,0.102151,0.032258,0,0.021622,0.005405,0.010811,0,0.457675,0.467369,0.539841,1
0,0.030023,0.050808,0,0.006936,0.011561,0.075145,0,0.408520,0.421902,0.479054,0
0.005031,0.022918,0.012856,0,0.003915,0.001678,0.002796,0,0.805332,0.841455,0.984952,0
0,0.119522,0,0,0.02,0,0.004,0,0.558535,0.574871,0.667068,0
0.002347,0.156103,0.078638,0,0.019976,0.019976,0.06228,0,0.296252,0.298096,0.335721,0
0,0.085,0.135,0,0.015075,0.01005,0.015075,0,0.434821,0.448389,0.518865,0
0,0.113171,0.137561,0,0.003906,0.007812,0.016602,0,0.503052,0.517711,0.600702,0
0.005213,0.017062,0.007583,0,0.00569,0.001897,0.004267,0,0.795085,0.831453,0.972999,0
0,0.138973,0.015106,0,0.018182,0,0.00303,0,0.672706,0.695709,0.812025,0
0,0.028019,0.144928,0,0.010638,0.037718,0.101547,0,0.316324,0.325006,0.362386,0
0,0.078704,0.125,0,0.009302,0.018605,0.04186,0,0.392349,0.404211,0.464118,0
0,0.098843,0.128286,0,0.009474,0.011579,0.024211,0,0.506376,0.521470,0.603386,0
0.002912,0.012231,0.015143,0,0.003497,0.002914,0.006993,0,0.833711,0.871765,1.020921,0
0,0.13355,0.055375,0,0.019608,0.003268,0.006536,0,0.643731,0.665565,0.776834,0
0,0.07394,0.224527,0,0.01444,0.030686,0.06769,0,0.310593,0.316795,0.356257,0
0,0.049383,0.049383,0,0.006211,0.012422,0.055901,0,0.394796,0.406510,0.462497,0
0,0.06619,0.121646,0,0.004476,0.012534,0.021486,0,0.556474,0.577729,0.669353,1
0.017449,0.011421,0.007297,0,0.002856,0.001269,0.005078,0,0.750620,0.785400,0.918768,2
0,0.069401,0.056782,0,0.018987,0.012658,0.018987,0,0.577182,0.599349,0.696791,0
0,0.096296,0.192593,0,0.026483,0.029661,0.061441,0,0.305879,0.309928,0.350221,1
0.003802,0.087452,0,0,0.015267,0,0.007634,0,0.523745,0.541279,0.626383,0
0.00625,0.11875,0.14375,0,0.002503,0.011264,0.026283,0,0.461119,0.474234,0.546434,0
0.016839,0.016192,0.006477,0,0.005185,0.000648,0.005185,0,0.656274,0.686136,0.799919,0
0,0.127413,0.084942,0,0.01938,0.003876,0.011628,0,0.605629,0.625682,0.729272,0
0.007928,0.075878,0.137033,0,0.017007,0.022676,0.064626,0,0.201055,0.206038,0.221784,0
0,0.096273,0.009317,0,0.021807,0.006231,0.012461,0,0.580204,0.598909,0.696167,1
0,0.1339,0.126461,0,0.008511,0.009574,0.017021,0,0.473151,0.485563,0.561450,0
0.001793,0.016139,0.011357,0,0.005981,0.000598,0.001794,0,0.803385,0.840414,0.981758,0
0,0.145897,0.027356,0,0.018293,0,0.003049,0,0.653914,0.675267,0.788039,0
0,0.091434,0.231954,0,0.012524,0.029865,0.058767,0,0.294544,0.299445,0.337073,0
0.010204,0.081633,0.035714,0,0.020513,0.010256,0.046154,0,0.277107,0.282725,0.319373,0
0.007476,0.086256,0.097182,0,0.004603,0.009206,0.018987,0,0.437073,0.452758,0.521059,0
0.019898,0.014213,0.017055,0,0.002844,0.002275,0.010808,0,0.663302,0.693955,0.809281,0
0,0.183333,0.005556,0,0.027855,0,0,0,0.598618,0.616287,0.718011,0
0.012036,0.051153,0.172518,0,0.014056,0.03012,0.052209,0,0.260895,0.269206,0.297799,0
0.039427,0.043011,0.028674,0,0.014388,0,0.003597,0,0.359917,0.374688,0.428621,1
0.061493,0.032211,0.030015,0,0.003663,0.002198,0.008059,0,0.223449,0.237787,0.263286,0
0.048689,0.01573,0.009738,0,0.005997,0.00075,0.002999,0,0.482052,0.505307,0.584608,0
0.097403,0.090909,0.016234,0,0.016287,0,0.003257,0,0.389525,0.403300,0.463266,0
0,0.060706,0.131347,0,0.01768,0.023204,0.099448,0,0.240684,0.242583,0.265595,0
0,0.085,0.03,0,0.040201,0.005025,0.025126,0,0.413379,0.424412,0.487610,0
0.020979,0.035839,0.062063,0,0.004374,0.009624,0.019248,0,0.491651,0.511473,0.590648,0
0.015199,0.017733,0.000633,0,0.002535,0,0.000634,0,0.788488,0.824314,0.965178,0
0,0.169435,0.009967,0,0.02,0,0,0,0.628530,0.648105,0.756265,0
0,0.087666,0.140673,0,0.017347,0.02551,0.089796,0,0.340854,0.347849,0.394873,0
0,0.11399,0.098446,0,0.036458,0.015625,0.03125,0,0.372643,0.381280,0.437236,0
0.008989,0.122472,0.151685,0,0.004499,0.014623,0.033746,0,0.482216,0.496389,0.573871,0
0,0.022059,0.01011,0,0.005977,0.002299,0.004138,0,0.808073,0.843708,0.987531,1
