@relation rabc_sampled_features

@attribute mono_feature1 numeric
@attribute mono_feature27 numeric
@attribute bi_feature678 numeric
@attribute bi_feature809 numeric
@attribute bi_feature919 numeric
@attribute bi_feature1223 numeric
@attribute projection1 numeric
@attribute projection2 numeric
@attribute projection3 numeric
@attribute class {0,1,2}

@data
0.003866,0.130155,0,0,0.009032,0,0.254059,0.262421,0.293437,1
0.028037,0.009346,0,0,0.037736,0,0.310928,0.312459,0.358599,0
0.013769,0.065404,0,0,0.008621,0,0.445826,0.462839,0.537437,0
0.001431,0.004292,0,0,0.001433,0,0.815688,0.857025,1.010765,0
0,0,0,0,0.035088,0,0.616586,0.638514,0.749995,0
0,0.130973,0,0,0.014184,0,0.300170,0.306387,0.344959,0
0.078261,0.069565,0,0,0.008772,0,0.185966,0.192327,0.209886,0
0.024862,0.023481,0,0,0.002766,0,0.255714,0.269427,0.306042,0
0.037893,0.013863,0,0,0.0037,0,0.593964,0.623368,0.732049,1
0,0.018868,0,0,0.037975,0,0.501988,0.517283,0.604222,0
0.009728,0.155642,0,0,0.017544,0,0.159916,0.164986,0.173843,0
0,0.032787,0,0,0.041322,0,0.429935,0.438794,0.510052,0
0,0.051402,0,0,0.007018,0,0.608060,0.635313,0.746075,0
0.021292,0.009936,0,0,0.004261,0,0.664726,0.698779,0.821826,0
0.005291,0.005291,0,0,0.037234,0,0.498018,0.513809,0.600411,0
0,0.216641,0,0,0.014151,0,0.259082,0.264086,0.290555,0
0,0.038462,0,0,0.019417,0,0.314466,0.317415,0.362038,0
0,0.036872,0,0,0.005593,0,0.580984,0.608757,0.713382,0
0,0.018539,0,0,0.002183,0,0.787880,0.827358,0.974498,0
0,0.01227,0,0,0.012346,0,0.532556,0.553139,0.646377,0
0.028571,0.180357,0,0,0.019678,0,0.193092,0.197199,0.211528,0
0,0.090909,0,0,0.021127,0,0.446192,0.459099,0.532328,0
0.005882,0.064706,0,0,0.002946,0,0.460167,0.478740,0.558170,0
0,0.00922,0,0,0.005034,0,0.798540,0.837252,0.986782,0
0,0,0,0,0.02439,0,0.568130,0.588072,0.690945,0
0,0.192063,0,0,0.007949,0,0.299940,0.307332,0.343778,0
0.009804,0.117647,0,0,0,0,0.103310,0.107016,0.109156,0
0.003704,0.07963,0,0,0.009276,0,0.361113,0.373586,0.430834,0
0,0.00651,0,0,0.007823,0,0.767918,0.804073,0.946670,0
0,0,0,0,0.038217,0,0.547596,0.563946,0.661882,0
0.0217,0.103074,0,0,0.012681,0,0.138735,0.140590,0.146322,1
0,0.073394,0,0,0.018519,0,0.375321,0.382697,0.440692,0
0,0.067151,0,0,0.005455,0,0.491199,0.510886,0.597356,0
0,0.009206,0,0,0.004608,0,0.806877,0.846479,0.998044,1
0,0.018072,0,0,0.006061,0,0.618488,0.643036,0.752841,0
0,0.172147,0,0,0.011628,0,0.246543,0.249720,0.277930,0
0,0,0,0,0.032967,0,0.303911,0.297826,0.340117,0
0.016447,0.072368,0,0,0.004942,0,0.468286,0.486468,0.568353,0
0.007067,0.001178,0,0,0.004717,0,0.749159,0.787029,0.927744,0
0,0,0,0,0.017544,0,0.439703,0.458243,0.532634,0
0.012968,0.12536,0,0,0.012987,0,0.223288,0.230354,0.255529,0
0,0.122449,0,0,0.020619,0,0.142741,0.139975,0.149633,0
0.00235,0.045828,0,0,0.005882,0,0.587027,0.612703,0.718254,0
0,0.011613,0,0,0.002584,0,0.767494,0.805896,0.949390,0
0.039773,0.005682,0,0,0.022857,0,0.370215,0.382465,0.445489,0
0.010081,0.096774,0,0,0.022222,0,0.234883,0.239695,0.266515,0
0,0.087591,0,0,0.014706,0,0.470814,0.487718,0.565571,1
0,0.01467,0,0,0.005382,0,0.744555,0.779955,0.918823,2
0,0.013943,0,0,0.002326,0,0.813585,0.853757,1.006506,2
0,0.012195,0,0,0.04908,0,0.521818,0.536685,0.626154,0
0,0.131868,0,0,0.020183,0,0.284558,0.290101,0.327561,2
0,0,0,0,0.056075,0,0.372410,0.372237,0.431213,0
0,0.040755,0,0,0.00597,0,0.607191,0.635063,0.745238,0
0.004651,0.007752,0,0,0.006206,0,0.750219,0.786940,0.927144,0
0,0.03125,0,0,0.018868,0,0.594602,0.615579,0.720137,0
0,0.154104,0,0,0.015101,0,0.250402,0.254961,0.283620,0
0,0.009615,0,0,0.048544,0,0.435979,0.442335,0.516443,0
0,0.056296,0,0,0.005935,0,0.527023,0.549246,0.640053,0
0,0.009607,0,0,0.002622,0,0.743081,0.780124,0.917777,0
0,0.012195,0,0,0.02454,0,0.619676,0.641878,0.751429,0
0,0.124434,0,0,0.020408,0,0.223751,0.224775,0.247764,0
